num_hecho,dia_ocu,mes_ocu,año_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc
2991,25,10,9,7,21,1,2,9,999,99,9,1,2,9999,2
3036,30,10,9,5,13,7,2,9,999,99,9,1,6,9999,2
3397,19,12,9,6,4,4,2,9,999,99,9,1,8,9999,2
3480,26,12,9,6,15,17,2,1,999,1,9,1,2,9999,2
105,11,1,9,7,2,10,2,9,999,99,9,1,4,9999,3
1085,9,4,9,4,3,10,2,9,999,99,9,1,4,9999,3
1114,11,4,9,6,19,5,2,9,999,99,9,1,6,9999,3
1495,18,5,9,1,6,10,2,1,999,99,9,1,10,9999,3
3179,20,11,9,5,2,16,2,9,999,99,9,1,4,9999,3
3355,14,12,9,1,18,5,2,9,999,99,9,1,11,9999,3
691,2,3,9,1,22,1,2,9,999,99,9,1,2,9999,4
1590,1,7,9,1,20,13,2,9,999,99,9,2,4,1997,1
256,25,1,9,7,20,20,2,9,999,99,9,2,99,9999,1
2013,19,7,9,7,20,17,2,9,999,99,9,2,6,9999,1
