núm_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,fall_les,int_o_noint
5790,10,2016,22,9,6,108,1,1,99,2,9,2,4,6,5,9999,4,1,1,2,4,3,6,2,1
5791,10,2016,23,9,6,108,1,1,99,1,28,1,3,17,2,1999,1,4,4,6,4,3,3,2,1
5792,10,2016,23,9,6,108,1,1,99,1,17,2,3,17,2,1999,1,2,2,4,4,3,3,2,1
5793,10,2016,19,9,6,1307,13,2,99,2,999,1,3,69,4,1996,2,16,12,18,4,3,3,2,1
5794,10,2016,23,9,6,101,1,1,9,1,19,1,4,999,99,9999,2,2,2,4,4,3,6,1,2
5795,11,2016,13,9,7,101,1,1,6,2,19,1,1,48,4,2005,1,2,2,4,3,2,4,2,1
5796,11,2016,10,9,7,101,1,1,18,2,31,1,4,32,1,9999,2,5,5,7,2,1,6,2,1
5797,11,2016,4,9,7,101,1,1,14,2,30,1,2,50,4,2013,1,5,5,7,1,1,5,2,1
5798,11,2016,4,9,7,101,1,1,14,2,27,1,1,69,2,1993,1,4,4,6,1,1,3,2,1
5799,11,2016,0,9,7,101,1,1,12,1,52,1,2,48,3,2011,1,9,9,11,1,1,5,2,1
5800,11,2016,0,9,7,101,1,1,12,2,22,1,2,48,3,2011,1,3,3,5,1,1,5,2,1
5801,11,2016,0,9,7,101,1,1,12,1,28,1,3,17,2,1995,1,4,4,6,1,1,3,2,1
5802,11,2016,0,9,7,101,1,1,12,1,999,1,3,17,2,1995,1,16,12,18,1,1,3,2,1
5803,11,2016,9,9,7,101,1,1,7,1,27,1,4,999,5,9999,1,4,4,6,2,1,6,2,1
5804,11,2016,9,9,7,101,1,1,7,2,23,1,4,999,5,9999,1,3,3,5,2,1,6,2,1
5805,11,2016,7,9,7,110,1,1,99,1,22,1,4,6,3,9999,2,3,3,5,2,1,6,2,1
5806,11,2016,17,9,7,111,1,2,99,1,23,1,3,48,2,9999,1,3,3,5,3,2,6,2,1
5807,11,2016,17,9,7,111,1,2,99,1,9,2,3,48,2,9999,1,1,1,2,3,2,6,2,1
5808,11,2016,17,9,7,111,1,2,99,1,8,2,3,48,2,9999,1,1,1,2,3,2,6,2,1
5809,11,2016,14,9,7,109,1,2,99,1,60,1,1,27,6,9999,2,11,11,13,3,2,6,1,2
5810,11,2016,4,9,7,117,1,1,99,1,22,1,3,48,4,9999,1,3,3,5,1,1,6,2,1
5811,11,2016,4,9,7,117,1,1,99,2,28,1,3,48,4,9999,1,4,4,6,1,1,6,2,1
5812,11,2016,7,9,7,117,1,1,99,1,35,1,1,67,2,9999,1,6,6,8,2,1,6,2,1
5813,11,2016,7,9,7,117,1,1,99,1,40,1,1,28,4,9999,1,7,7,9,2,1,6,2,1
5814,11,2016,16,9,7,501,5,2,99,1,43,1,12,999,99,9999,1,7,7,9,3,2,6,2,1
5815,11,2016,16,9,7,501,5,2,99,1,19,1,12,999,99,9999,1,2,2,4,3,2,6,2,1
5816,11,2016,16,9,7,501,5,2,99,1,16,2,12,999,99,9999,1,2,2,4,3,2,6,2,1
5817,11,2016,16,9,7,501,5,2,99,2,27,1,12,999,99,9999,1,4,4,6,3,2,6,2,1
5818,11,2016,16,9,7,501,5,2,99,1,62,1,12,999,99,9999,1,11,11,13,3,2,6,2,1
5819,11,2016,16,9,7,501,5,2,99,1,39,1,12,999,99,9999,1,6,6,8,3,2,6,2,1
5820,11,2016,16,9,7,501,5,2,99,1,30,1,12,999,99,9999,1,5,5,7,3,2,6,2,1
5821,11,2016,16,9,7,501,5,2,99,1,12,2,12,999,99,9999,1,1,1,3,3,2,6,2,1
5822,11,2016,16,9,7,501,5,2,99,2,0,2,12,999,99,9999,1,1,1,1,3,2,6,2,1
5823,11,2016,16,9,7,501,5,2,99,2,38,1,12,999,99,9999,1,6,6,8,3,2,6,2,1
5824,11,2016,16,9,7,501,5,2,99,2,38,1,12,999,99,9999,1,6,6,8,3,2,6,2,1
5825,11,2016,15,9,7,502,5,1,99,2,24,1,4,54,1,9999,1,3,3,5,3,2,6,2,1
5826,11,2016,19,9,7,608,6,2,99,1,21,1,4,27,1,9999,1,3,3,5,4,3,6,1,2
5827,11,2016,22,9,7,1017,10,1,99,1,22,1,4,54,99,9999,1,3,3,5,4,3,6,2,1
5828,11,2016,23,9,7,1201,12,1,99,1,20,1,1,41,4,9999,1,3,3,5,4,3,6,1,2
5829,11,2016,23,9,7,1201,12,1,99,2,19,1,2,69,2,9999,1,2,2,4,4,3,6,2,1
5830,11,2016,23,9,7,1201,12,1,99,2,15,2,2,69,2,9999,1,2,2,4,4,3,6,2,1
