núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
2391,2017,23,1,1,1,4,7,117,1,99,1,26,4,4,6,1,4,999,1,9999,6,2,2,1
2392,2017,23,23,4,3,4,7,2205,22,99,1,18,2,2,4,1,22,76,5,9999,6,1,1,2
2393,2017,23,23,4,3,4,7,2205,22,99,1,999,16,12,18,1,4,76,5,9999,6,1,2,1
2394,2017,23,15,3,2,4,7,2001,20,99,1,23,3,3,5,1,4,67,1,9999,6,2,2,1
2395,2017,23,18,4,3,4,7,1001,10,99,1,18,2,2,4,1,4,999,99,9999,6,1,1,2
2396,2017,23,20,4,3,4,7,920,9,99,1,19,2,2,4,1,4,999,1,9999,6,1,2,1
2397,2017,23,20,4,3,4,7,1614,16,99,1,36,6,6,8,1,3,31,4,9999,6,2,1,2
2398,2017,23,20,4,3,4,7,1614,16,99,1,40,7,7,9,1,3,31,4,9999,6,2,2,1
2399,2017,23,20,4,3,4,7,1614,16,99,1,44,7,7,9,1,3,31,4,9999,6,2,2,1
2400,2017,23,20,4,3,4,7,1614,16,99,1,999,16,12,18,1,3,31,4,9999,6,2,2,1
2401,2017,23,21,4,3,4,7,416,4,99,1,28,4,4,6,1,4,32,5,9999,6,1,2,1
2402,2017,23,17,3,2,4,7,314,3,99,1,23,3,3,5,1,4,64,2,9999,6,1,2,1
2403,2017,24,8,2,1,4,1,101,1,18,1,42,7,7,9,1,9,69,12,2007,4,2,2,1
2404,2017,24,8,2,1,4,1,101,1,18,2,47,8,8,10,1,9,69,12,2007,4,2,2,1
2405,2017,24,8,2,1,4,1,101,1,18,1,8,1,1,2,2,9,69,12,2007,4,2,2,1
2406,2017,24,15,3,2,4,1,509,5,99,1,72,13,11,15,1,9,999,2,9999,6,1,2,1
2407,2017,24,15,3,2,4,1,509,5,99,2,37,6,6,8,1,9,999,2,9999,6,1,2,1
2408,2017,24,15,3,2,4,1,509,5,99,2,29,4,4,6,1,9,999,2,9999,6,1,2,1
2409,2017,24,15,3,2,4,1,509,5,99,2,57,10,10,12,1,9,999,2,9999,6,1,2,1
2410,2017,24,15,3,2,4,1,509,5,99,2,63,11,11,13,1,9,999,2,9999,6,1,2,1
2411,2017,24,15,3,2,4,1,509,5,99,1,9,1,1,2,2,9,999,2,9999,6,1,2,1
2412,2017,24,15,3,2,4,1,509,5,99,2,3,1,1,1,2,9,999,2,9999,6,1,2,1
2413,2017,24,15,3,2,4,1,509,5,99,2,9,1,1,2,2,9,999,2,9999,6,1,2,1
2414,2017,24,15,3,2,4,1,509,5,99,2,999,16,12,18,1,9,999,2,9999,6,1,2,1
2415,2017,24,15,3,2,4,1,509,5,99,1,999,16,12,18,1,9,999,2,9999,6,1,1,2
2416,2017,24,15,3,2,4,1,509,5,99,1,999,16,12,18,1,9,999,2,9999,6,1,1,2
2417,2017,24,15,3,2,4,1,509,5,99,1,0,1,1,1,2,9,999,2,9999,6,1,1,2
2418,2017,24,17,3,2,4,1,901,9,99,2,1,1,1,1,2,3,999,3,9999,6,1,1,2
2419,2017,24,17,3,2,4,1,901,9,99,2,34,5,5,7,1,3,999,3,9999,6,1,2,1
2420,2017,24,17,3,2,4,1,901,9,99,2,20,3,3,5,1,3,999,3,9999,6,1,2,1
2421,2017,24,17,3,2,4,1,901,9,99,2,3,1,1,1,2,3,999,3,9999,6,1,2,1
2422,2017,24,17,3,2,4,1,919,9,99,2,25,4,4,6,1,1,48,3,9999,6,1,1,2
