num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil
3915,20,1,7,18,4,16,1601,1,11,1,31,5,1,3,4,1987,5,44,2
3916,20,1,7,17,3,17,1701,2,99,1,38,6,1,5,2,2012,5,34,1
3917,21,1,1,15,3,1,101,1,4,9,999,12,9,12,2,9999,5,22,9
3918,21,1,1,0,1,1,115,2,99,9,999,12,9,99,99,9999,5,99,9
3919,21,1,1,14,3,1,117,2,99,9,999,12,9,99,99,9999,5,99,9
3920,21,1,1,17,3,5,508,2,99,1,33,5,1,3,99,9999,5,44,2
3921,21,1,1,8,2,6,601,2,99,9,999,12,9,99,99,9999,5,99,9
3922,21,1,1,14,3,10,1010,2,99,1,18,2,1,14,1,2007,5,2,1
3923,21,1,1,12,3,9,901,2,99,1,29,4,1,1,5,9999,5,21,9
3924,21,1,1,7,2,4,409,2,99,1,20,3,1,4,5,2013,5,2,9
3925,22,1,2,20,4,1,101,1,18,9,999,12,9,99,99,9999,5,99,9
3926,22,1,2,6,2,1,115,2,99,9,999,12,9,99,99,9999,5,99,9
3927,22,1,2,7,2,5,502,2,99,9,999,12,9,99,99,9999,5,99,9
3928,22,1,2,17,3,13,1301,2,99,1,44,7,1,1,99,1983,5,34,1
3929,22,1,2,17,3,8,801,2,99,1,19,2,1,9,2,2007,5,44,1
3930,22,1,2,5,1,14,1401,2,99,9,999,12,9,99,99,9999,5,99,9
3931,23,1,3,19,4,5,502,2,99,9,999,12,9,12,99,9999,5,99,9
3932,23,1,3,12,3,16,1604,2,99,9,999,12,9,1,99,9999,5,99,9
3933,23,1,3,20,4,17,1712,2,99,9,999,12,9,4,99,9999,5,99,9
3934,23,1,3,17,3,14,1410,2,99,9,999,12,9,4,3,9999,5,99,9
3935,24,1,4,7,2,1,115,1,12,1,27,4,1,5,2,2012,5,19,9
3936,24,1,4,17,3,20,2007,2,99,9,999,12,9,2,6,9999,5,99,9
3937,24,1,4,16,3,9,920,2,99,9,999,12,9,99,99,9999,5,99,9
3938,24,1,4,6,2,4,409,1,2,1,26,4,1,1,2,1999,5,32,9
