núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,fall_les,int_o_noint,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
6522,2015,11,21,6,14,3,2,7,704,2,99,2,33,1,5,5,7,2,2,9,44,2,9999,6,4
6523,2015,11,21,6,14,3,2,7,704,2,99,1,3,2,1,1,1,2,2,9,44,2,9999,6,4
6524,2015,11,21,6,14,3,2,7,704,2,99,1,53,1,9,9,11,2,2,9,44,2,9999,6,4
6525,2015,11,21,6,14,3,2,7,704,2,99,2,31,1,5,5,7,2,2,9,44,2,9999,6,4
6526,2015,11,22,7,3,1,1,1,101,1,1,2,37,1,6,6,8,2,1,1,44,1,2000,4,1
6527,2015,11,22,7,3,1,1,1,101,1,1,2,17,2,2,2,4,2,1,1,44,1,2000,4,1
6528,2015,11,22,7,2,1,1,1,115,1,4,1,39,1,6,6,8,2,1,1,44,4,9999,6,1
6529,2015,11,22,7,11,2,1,1,108,2,7,1,20,1,3,3,5,2,1,1,26,11,9999,6,1
6530,2015,11,22,7,11,2,1,1,108,2,7,1,16,2,2,2,4,2,1,1,26,11,9999,6,1
6531,2015,11,22,7,2,1,1,5,501,2,99,2,999,9,16,12,18,2,1,4,40,99,9999,6,1
6532,2015,11,22,7,17,3,2,10,1001,2,99,1,78,1,14,11,16,2,1,14,2,1,9999,6,1
6533,2015,11,22,7,14,3,2,13,1306,2,99,2,43,1,7,7,9,2,1,8,42,14,9999,6,1
6534,2015,11,22,7,14,3,2,13,1306,2,99,1,18,1,2,2,4,2,1,8,42,14,9999,6,1
6535,2015,11,22,7,14,3,2,13,1306,2,99,1,15,2,2,2,4,2,1,8,42,14,9999,6,1
6536,2015,11,22,7,14,3,2,13,1306,2,99,2,73,1,13,11,15,2,1,8,42,14,9999,6,1
6537,2015,11,22,7,14,3,2,13,1306,2,99,2,27,1,4,4,6,2,1,99,99,9,9999,6,1
6538,2015,11,22,7,14,3,2,13,1306,2,99,1,19,1,2,2,4,2,1,99,99,9,9999,6,1
6539,2015,11,22,7,14,3,2,13,1306,2,99,1,20,1,3,3,5,2,1,99,99,9,9999,6,1
6540,2015,11,22,7,14,3,2,13,1306,2,99,1,29,1,4,4,6,2,1,99,99,9,9999,6,1
6541,2015,11,22,7,14,3,2,13,1306,2,99,2,4,2,1,1,1,2,1,99,99,9,9999,6,1
6542,2015,11,22,7,14,3,2,13,1306,2,99,2,20,1,3,3,5,2,1,99,99,9,9999,6,1
6543,2015,11,22,7,16,3,2,16,1613,2,99,1,27,1,4,4,6,2,2,4,21,1,9999,6,1
6544,2015,11,22,7,23,4,3,15,1504,2,99,1,27,1,4,4,6,2,1,4,21,1,9999,6,2
6545,2015,11,22,7,5,1,1,18,1801,2,99,1,40,1,7,7,9,2,1,4,2,1,9999,6,2
6546,2015,11,22,7,5,1,1,18,1801,2,99,1,34,1,5,5,7,2,1,4,2,1,9999,6,2
6547,2015,11,22,7,16,3,2,17,1701,2,99,1,20,1,3,3,5,2,1,4,2,99,9999,6,1
6548,2015,11,22,7,16,3,2,17,1701,2,99,1,20,1,3,3,5,2,1,4,99,99,9999,6,1
6549,2015,11,22,7,16,3,2,17,1701,2,99,1,17,2,2,2,4,2,1,4,99,99,9999,6,1
6550,2015,11,22,7,16,3,2,3,304,2,99,2,35,1,6,6,8,2,2,1,20,3,1995,3,1
6551,2015,11,22,7,16,3,2,3,304,2,99,2,999,9,16,12,18,2,1,1,20,3,1995,3,1
6552,2015,11,23,1,12,3,2,1,101,1,12,1,21,1,3,3,5,2,1,4,42,5,9999,6,1
6553,2015,11,23,1,1,1,1,14,1406,1,99,2,24,1,3,3,5,2,1,4,42,1,9999,6,3
6554,2015,11,23,1,12,3,2,1,102,1,5,2,32,1,5,5,7,2,1,4,99,5,9999,6,1
6555,2015,11,23,1,22,4,3,1,108,1,2,1,23,1,3,3,5,2,1,5,19,2,2001,4,1
6556,2015,11,23,1,15,3,2,13,1319,2,99,2,42,1,7,7,9,2,1,8,42,99,2014,5,1
6557,2015,11,24,2,23,4,3,1,101,1,7,9,999,9,16,12,18,2,1,4,99,99,9999,6,3
6558,2015,11,24,2,7,2,1,5,501,2,99,1,21,1,3,3,5,2,1,3,44,9,9999,6,2
6559,2015,11,24,2,7,2,1,5,501,2,99,1,20,1,3,3,5,2,1,3,44,9,9999,6,2
6560,2015,11,24,2,7,2,1,5,501,2,99,1,24,1,3,3,5,2,1,3,44,9,9999,6,2
6561,2015,11,24,2,7,2,1,5,501,2,99,1,24,1,3,3,5,2,1,3,44,9,9999,6,2
6562,2015,11,24,2,7,2,1,5,501,2,99,1,25,1,4,4,6,1,2,3,44,9,9999,6,2
6563,2015,11,24,2,18,4,3,5,512,2,99,1,35,1,6,6,8,1,2,4,41,1,2015,5,1
6564,2015,11,24,2,15,3,2,5,511,2,99,1,52,1,9,9,11,2,1,2,99,3,9999,6,3
6565,2015,11,24,2,15,3,2,5,511,2,99,2,50,1,9,9,11,2,1,2,99,3,9999,6,3
6566,2015,11,24,2,12,3,2,8,801,2,99,1,17,2,2,2,4,2,1,4,24,5,9999,6,1
6567,2015,11,24,2,10,2,1,4,415,2,99,1,42,1,7,7,9,2,1,4,21,1,2007,4,1
6568,2015,11,25,3,2,1,1,1,101,1,1,1,31,1,5,5,7,2,1,4,99,99,9999,6,2
6569,2015,11,25,3,18,4,3,1,101,1,18,1,16,2,2,2,4,2,1,4,2,5,9999,6,3
6570,2015,11,25,3,18,4,3,1,101,1,18,1,15,2,2,2,4,2,1,4,2,5,9999,6,3
6571,2015,11,25,3,1,1,1,1,101,1,12,2,19,1,2,2,4,2,2,9,30,2,2005,4,1
6572,2015,11,25,3,1,1,1,1,101,1,12,1,16,2,2,2,4,2,2,9,30,2,2005,4,1
6573,2015,11,25,3,1,1,1,1,101,1,12,2,28,1,4,4,6,2,1,1,46,4,2011,5,1
6574,2015,11,25,3,9,2,1,1,108,1,2,2,46,1,8,8,10,2,1,1,20,4,2016,5,1
6575,2015,11,25,3,5,1,1,22,2212,2,99,1,36,1,6,6,8,2,1,1,21,99,9999,6,3
6576,2015,11,25,3,5,1,1,22,2212,2,99,2,36,1,6,6,8,2,1,1,21,99,9999,6,3
6577,2015,11,25,3,5,1,1,22,2212,2,99,2,26,1,4,4,6,2,1,1,21,99,9999,6,3
6578,2015,11,25,3,5,1,1,22,2212,2,99,2,26,1,4,4,6,2,1,1,21,99,9999,6,3
6579,2015,11,25,3,5,1,1,22,2212,2,99,2,13,2,1,1,3,2,1,1,21,99,9999,6,3
6580,2015,11,25,3,5,1,1,22,2212,2,99,2,2,2,1,1,1,2,1,1,21,99,9999,6,3
6581,2015,11,25,3,21,4,3,10,1001,2,99,1,21,1,3,3,5,2,1,4,42,5,9999,6,1
6582,2015,11,25,3,21,4,3,10,1001,2,99,2,19,1,2,2,4,2,1,4,42,5,9999,6,1
6583,2015,11,25,3,21,4,3,10,1001,2,99,1,3,2,1,1,1,2,1,4,42,5,9999,6,1
6584,2015,11,25,3,19,4,3,9,901,1,11,1,20,1,3,3,5,2,1,9,99,99,9999,6,1
6585,2015,11,25,3,14,3,2,12,1213,2,99,1,42,1,7,7,9,2,1,12,22,6,1995,3,3
6586,2015,11,25,3,14,3,2,12,1213,2,99,2,29,1,4,4,6,2,1,12,22,6,1995,3,3
6587,2015,11,25,3,14,3,2,12,1213,2,99,2,65,1,12,11,14,2,1,12,22,6,1995,3,3
6588,2015,11,25,3,14,3,2,12,1213,2,99,2,30,1,5,5,7,2,1,12,22,6,1995,3,3
6589,2015,11,25,3,14,3,2,12,1213,2,99,1,30,1,5,5,7,2,1,12,22,6,1995,3,3
6590,2015,11,25,3,14,3,2,12,1213,2,99,2,57,1,10,10,12,2,1,12,22,6,1995,3,3
6591,2015,11,25,3,14,3,2,12,1213,2,99,1,4,2,1,1,1,2,1,12,22,6,1995,3,3
6592,2015,11,25,3,19,4,3,15,1502,2,99,1,23,1,3,3,5,2,1,4,37,3,9999,6,2
6593,2015,11,25,3,19,4,3,15,1502,2,99,2,22,1,3,3,5,2,1,4,37,3,9999,6,2
6594,2015,11,25,3,2,1,1,1,108,1,6,1,20,1,3,3,5,2,1,4,99,99,9999,6,3
6595,2015,11,27,5,18,4,3,1,101,1,18,1,39,1,6,6,8,2,1,9,44,2,9999,6,2
6596,2015,11,27,5,18,4,3,1,101,1,18,1,30,1,5,5,7,1,2,9,44,2,9999,6,2
6597,2015,11,26,4,20,4,3,1,101,1,13,2,39,1,6,6,8,2,2,4,99,99,9999,6,3
6598,2015,11,26,4,20,4,3,1,101,1,13,1,23,1,3,3,5,2,2,4,99,99,9999,6,3
6599,2015,11,26,4,20,4,3,1,101,1,13,1,22,1,3,3,5,2,2,4,99,99,9999,6,3
6600,2015,11,27,5,18,4,3,1,101,1,10,1,56,1,10,10,12,2,1,4,2,5,2013,5,1
6601,2015,11,26,4,18,4,3,1,101,1,11,1,45,1,8,8,10,1,2,4,42,5,9999,6,1
6602,2015,11,26,4,18,4,3,1,101,1,11,2,21,1,3,3,5,2,2,4,42,5,9999,6,1
6603,2015,11,26,4,7,2,1,1,114,2,99,1,19,1,2,2,4,1,2,4,99,99,9999,6,1
6604,2015,11,26,4,17,3,2,5,501,2,99,2,26,1,4,4,6,2,1,4,21,5,2008,4,1
6605,2015,11,26,4,4,1,1,5,501,1,3,1,30,1,5,5,7,1,2,4,59,5,2014,5,1
6606,2015,11,26,4,10,2,1,5,511,1,3,1,24,1,3,3,5,2,2,11,33,2,1995,3,2
6607,2015,11,26,4,18,4,3,5,506,2,99,1,26,1,4,4,6,2,2,4,99,99,9999,6,3
6608,2015,11,26,4,18,4,3,5,506,2,99,2,26,1,4,4,6,2,2,4,99,99,9999,6,3
6609,2015,11,26,4,18,4,3,5,506,2,99,1,14,2,1,1,3,2,2,4,99,99,9999,6,3
6610,2015,11,26,4,19,4,3,9,901,1,8,2,999,9,16,12,18,1,2,2,42,3,1997,3,1
6611,2015,11,26,4,17,3,2,13,1301,1,5,2,24,1,3,3,5,2,1,4,24,5,9999,6,1
6612,2015,11,26,4,17,3,2,13,1301,1,5,2,6,2,1,1,2,2,1,4,24,5,9999,6,1
6613,2015,11,27,5,1,1,1,1,101,1,18,1,22,1,3,3,5,2,1,4,2,5,9999,6,2
6614,2015,11,27,5,1,1,1,1,101,1,18,1,24,1,3,3,5,2,1,4,2,5,9999,6,2
6615,2015,11,27,5,10,2,1,1,101,1,18,1,18,1,2,2,4,2,1,4,99,99,9999,6,1
6616,2015,11,27,5,10,2,1,1,101,1,18,1,64,1,11,11,13,2,1,4,99,99,9999,6,1
6617,2015,11,27,5,11,2,1,22,2204,2,99,1,999,9,16,12,18,2,1,1,32,2,9999,6,1
6618,2015,11,27,5,11,2,1,22,2204,2,99,1,999,9,16,12,18,2,1,2,44,4,9999,6,1
6619,2015,11,27,5,16,3,2,8,802,2,99,1,53,1,9,9,11,2,1,3,44,5,9999,6,1
6620,2015,11,27,5,9,2,1,15,1503,2,99,1,20,1,3,3,5,2,1,4,99,1,2009,4,1
